Time,F_Scale,Location,County,State,Lat,Lon,Comments
2056,100,2 SE Muncie,Wyandotte,KS,39.06,-94.73,Mping report. (EAX)
2058,150,1 NNE Seven Hills,Cuyahoga,OH,41.39,-81.66,(CLE)
2100,125,Bedford,Cuyahoga,OH,41.39,-81.53,(CLE)
2102,200,Bedford,Cuyahoga,OH,41.39,-81.54,Picture of hail slightly over 2 inch in diameter hail received from Bedford. (CLE)
2103,100,5 SSW Norwalk,Huron,OH,41.17,-82.64,(CLE)
2103,175,1 SW Maple Heights,Cuyahoga,OH,41.39,-81.57,(CLE)
2103,200,1 NNE Bedford,Cuyahoga,OH,41.4,-81.53,(CLE)
2103,200,1 SE North Randall,Cuyahoga,OH,41.42,-81.52,Hail lasted 10 to 15 minutes ranging in size from 1.00 to 2.00 inches in diameter. (CLE)
2109,125,4 WSW Republic,Seneca,OH,41.11,-83.09,(CLE)
2109,100,Solon,Cuyahoga,OH,41.39,-81.44,(CLE)
2109,150,2 SSW Moreland Hills,Cuyahoga,OH,41.42,-81.44,Delayed report. Time estimated via radar. (CLE)
2111,100,Chetopa,Labette,KS,37.04,-95.09,(ICT)
2113,125,3 WNW Osborn,DeKalb,MO,39.76,-94.4,Social media report and video. Time estimated from radar. (EAX)
2115,125,Walnut,Crawford,KS,37.6,-95.08,(SGF)
2115,100,2 WSW Johnston,Polk,IA,41.66,-93.76,Trained spotter sent a picture of a hail stone 1 inch in diameter. (DMX)
2116,100,Bainbridge,Geauga,OH,41.39,-81.34,Corrects previous hail report from Bainbridge. Public report of significant accumulation of one inch and greater hail. (CLE)
2117,100,1 NW Kearney,Clay,MO,39.38,-94.37,(EAX)
2119,150,3 SE Maysville,DeKalb,MO,39.86,-94.32,Social media report and video of ping pong ball size hail northwest of Cameron. Time estimated from radar. (EAX)
2120,100,3 N Osborn,DeKalb,MO,39.79,-94.36,Report from social media. Time estimated from radar. (EAX)
2120,175,2 NW Bainbridge,Geauga,OH,41.41,-81.36,Report from mPING: Golf Ball (1.75 in.). (CLE)
2121,200,5 E Bainbridge,Geauga,OH,41.39,-81.25,Time estimated via radar. (CLE)
2122,100,Faulkner,Cherokee,KS,37.11,-95.01,Also report of 60mph winds. (SGF)
2122,100,3 NNW Darlington,Gentry,MO,40.24,-94.43,Time estimated from radar. (EAX)
2123,100,2 N Buck Grove,Crawford,IA,41.95,-95.4,(DMX)
2125,100,6 SW Jolly,Clay,TX,33.81,-98.42,Additional reports of Quarter sized hail and 3 inch tree limbs down at 1954 and Pocahontas. (OUN)
2126,125,3 E Maysville,DeKalb,MO,39.89,-94.3,Social media report. Time estimated from radar. (EAX)
2126,100,Weatherby,DeKalb,MO,39.91,-94.24,Report relayed via social media. Time estimated from radar. (EAX)
2127,175,Kipton,Lorain,OH,41.27,-82.3,(CLE)
